"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","c","Species richness",16,20.4979610330766,4.29818844293404,16,28.9222555799936
"2","c","Shannon diversity",2.46926304371249,2.480688225813,0.0757836745188756,2.3321549531399,2.6292214984861
"3","c","Simpson diversity",1.64161555346673,1.64209315659886,0.0346639142166431,1.57415313317105,1.71003318002667
"4","n","Species richness",15,16.9993915424399,2.30766447145536,15,21.5223307948951
"5","n","Shannon diversity",1.79856979986618,1.80320801302747,0.0384757179770984,1.72779699151304,1.87861903454191
"6","n","Simpson diversity",1.28458722749674,1.28469849005956,0.0152789430480766,1.25475231196349,1.31464466815563
"7","ra","Species richness",16,30.9942660550459,11.5405342333881,16,53.6132975148381
"8","ra","Shannon diversity",1.57217360115593,1.58082369031273,0.0371772513397654,1.5079576166426,1.65368976398287
"9","ra","Simpson diversity",1.20106187645209,1.2011542306867,0.0137771106374672,1.17415159002624,1.22815687134716
"10","rb","Species richness",11,15.4942084942085,5.39803177247445,11,26.0741563556613
"11","rb","Shannon diversity",1.97109013084658,1.990683634395,0.0728016473303936,1.84799502761224,2.13337224117776
"12","rb","Simpson diversity",1.42430233298811,1.42508154100686,0.037146910011708,1.35227493524696,1.49788814676676
"13","s","Species richness",12,16.4971410419314,5.09231815366583,12,26.4779012209359
"14","s","Shannon diversity",1.76444465021102,1.77361639866451,0.0606030252362862,1.65483665184721,1.8923961454818
"15","s","Simpson diversity",1.29641959713534,1.29666394335513,0.0255907969102542,1.24650690307535,1.3468209836349
